Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2014,Annual,Del Norte County,Not Adj,Not Prelim,9930,8930,1000,0.101
2013,Annual,Del Norte County,Not Adj,Not Prelim,10330,9110,1220,0.118
2012,Annual,Del Norte County,Not Adj,Not Prelim,10500,9080,1420,0.135
2011,Annual,Del Norte County,Not Adj,Not Prelim,10900,9450,1450,0.133
2010,Annual,Del Norte County,Not Adj,Not Prelim,10930,9490,1440,0.132
2009,Annual,Del Norte County,Not Adj,Not Prelim,11680,10300,1380,0.118
2008,Annual,Del Norte County,Not Adj,Not Prelim,11360,10360,1000,0.088
2007,Annual,Del Norte County,Not Adj,Not Prelim,11030,10200,830,0.075
2006,Annual,Del Norte County,Not Adj,Not Prelim,10790,10050,740,0.069
2005,Annual,Del Norte County,Not Adj,Not Prelim,10740,9940,800,0.074
2004,Annual,Del Norte County,Not Adj,Not Prelim,10630,9770,850,0.080
2003,Annual,Del Norte County,Not Adj,Not Prelim,10310,9440,870,0.085
2002,Annual,Del Norte County,Not Adj,Not Prelim,10220,9330,890,0.087
2001,Annual,Del Norte County,Not Adj,Not Prelim,10210,9390,820,0.080
2000,Annual,Del Norte County,Not Adj,Not Prelim,10250,9490,760,0.074
1999,Annual,Del Norte County,Not Adj,Not Prelim,9870,9070,790,0.080
1998,Annual,Del Norte County,Not Adj,Not Prelim,9950,8930,1030,0.103
1997,Annual,Del Norte County,Not Adj,Not Prelim,10160,9120,1030,0.102
1996,Annual,Del Norte County,Not Adj,Not Prelim,10160,9110,1050,0.104
1995,Annual,Del Norte County,Not Adj,Not Prelim,10070,8830,1240,0.123
1994,Annual,Del Norte County,Not Adj,Not Prelim,10030,8820,1210,0.121
1993,Annual,Del Norte County,Not Adj,Not Prelim,9760,8380,1380,0.141
1992,Annual,Del Norte County,Not Adj,Not Prelim,9840,8330,1510,0.154
1991,Annual,Del Norte County,Not Adj,Not Prelim,9770,8580,1190,0.122
1990,Annual,Del Norte County,Not Adj,Not Prelim,9610,8450,1160,0.121
2019,Annual,El Dorado County,Not Adj,Prelim,92000,88800,3200,0.035
2018,Annual,El Dorado County,Not Adj,Not Prelim,91100,87800,3300,0.037
2017,Annual,El Dorado County,Not Adj,Not Prelim,89800,85900,3900,0.044
2016,Annual,El Dorado County,Not Adj,Not Prelim,88800,84200,4600,0.051
2015,Annual,El Dorado County,Not Adj,Not Prelim,87900,82900,5000,0.057
2014,Annual,El Dorado County,Not Adj,Not Prelim,87900,81800,6100,0.070
2013,Annual,El Dorado County,Not Adj,Not Prelim,88600,81100,7500,0.085
2012,Annual,El Dorado County,Not Adj,Not Prelim,89100,80000,9100,0.102
2011,Annual,El Dorado County,Not Adj,Not Prelim,89700,79200,10500,0.117
2010,Annual,El Dorado County,Not Adj,Not Prelim,91100,80000,11100,0.122
2009,Annual,El Dorado County,Not Adj,Not Prelim,91700,81700,10000,0.109
2008,Annual,El Dorado County,Not Adj,Not Prelim,90600,84300,6300,0.070
2007,Annual,El Dorado County,Not Adj,Not Prelim,90400,85700,4700,0.052
2006,Annual,El Dorado County,Not Adj,Not Prelim,91600,87300,4200,0.046
2005,Annual,El Dorado County,Not Adj,Not Prelim,91100,86700,4400,0.048
2004,Annual,El Dorado County,Not Adj,Not Prelim,88800,84200,4700,0.053
2003,Annual,El Dorado County,Not Adj,Not Prelim,87500,82600,4800,0.055
2002,Annual,El Dorado County,Not Adj,Not Prelim,86200,81700,4500,0.052
2001,Annual,El Dorado County,Not Adj,Not Prelim,84000,80400,3600,0.043
2000,Annual,El Dorado County,Not Adj,Not Prelim,82200,78800,3400,0.041
1999,Annual,El Dorado County,Not Adj,Not Prelim,79200,76100,3100,0.039
1998,Annual,El Dorado County,Not Adj,Not Prelim,76900,73100,3800,0.050
1997,Annual,El Dorado County,Not Adj,Not Prelim,75700,71500,4200,0.055
1996,Annual,El Dorado County,Not Adj,Not Prelim,74000,69300,4700,0.063
1995,Annual,El Dorado County,Not Adj,Not Prelim,72100,67100,5000,0.069
1994,Annual,El Dorado County,Not Adj,Not Prelim,70500,65400,5100,0.072
1993,Annual,El Dorado County,Not Adj,Not Prelim,67500,61600,5800,0.087
1992,Annual,El Dorado County,Not Adj,Not Prelim,67300,61600,5700,0.085
1991,Annual,El Dorado County,Not Adj,Not Prelim,65500,61200,4400,0.066
1990,Annual,El Dorado County,Not Adj,Not Prelim,63800,61000,2900,0.045
2019,Annual,Fresno County,Not Adj,Prelim,450800,418100,32700,0.072
2018,Annual,Fresno County,Not Adj,Not Prelim,446700,412800,33900,0.076
2017,Annual,Fresno County,Not Adj,Not Prelim,444900,406900,37900,0.085
2016,Annual,Fresno County,Not Adj,Not Prelim,444600,402400,42200,0.095
2015,Annual,Fresno County,Not Adj,Not Prelim,440100,395300,44800,0.102
2014,Annual,Fresno County,Not Adj,Not Prelim,438300,387500,50700,0.116
2013,Annual,Fresno County,Not Adj,Not Prelim,437900,379800,58100,0.133
2012,Annual,Fresno County,Not Adj,Not Prelim,440000,373500,66600,0.151
2011,Annual,Fresno County,Not Adj,Not Prelim,443500,370200,73300,0.165
2010,Annual,Fresno County,Not Adj,Not Prelim,439600,366200,73400,0.167
2009,Annual,Fresno County,Not Adj,Not Prelim,434000,370300,63700,0.147
2008,Annual,Fresno County,Not Adj,Not Prelim,429700,384300,45400,0.106
2007,Annual,Fresno County,Not Adj,Not Prelim,418600,382800,35800,0.086
2006,Annual,Fresno County,Not Adj,Not Prelim,410400,377500,32900,0.080
2005,Annual,Fresno County,Not Adj,Not Prelim,407200,370600,36600,0.090
2004,Annual,Fresno County,Not Adj,Not Prelim,404300,362200,42100,0.104
2003,Annual,Fresno County,Not Adj,Not Prelim,403700,356600,47100,0.117
2002,Annual,Fresno County,Not Adj,Not Prelim,401100,355200,45900,0.114
