city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Santa Maria,"10,894,654","11,874,620","12,927,846","13,798,652","14,984,954","15,534,998","13,216,061","13,190,454","13,058,310","13,096,191","11,870,737","10,822,828","11,427,913","12,676,383","13,143,502","13,698,967","14,478,734","16,670,434","20,897,454","22,111,741","23,337,637"
Solvang,"945,215","1,013,489","962,244","980,213","949,686","970,748","804,964","757,443","801,695","875,363","764,881","686,665","727,791","811,253","823,618","862,419","939,841","1,057,811","1,294,441","1,390,846","1,463,574"
Santa Clara County unincorporated,"3,279,766","3,659,490","3,880,415","3,901,224","3,656,324","4,230,233","3,252,311","3,471,447","3,718,602","3,370,332","3,446,851","2,638,056","3,239,929","3,633,652","3,362,895","3,407,953","3,946,991","4,062,976","4,597,967","4,906,900","6,069,643"
Campbell,"9,384,213","10,540,429","11,734,881","9,654,829","8,931,892","10,540,729","7,554,932","7,188,979","7,435,961","7,444,555","6,739,390","6,035,065","6,170,818","7,108,219","7,282,555","7,741,498","8,246,585","9,093,891","11,226,435","11,581,473","12,089,090"
Cupertino,"9,467,934","13,214,438","12,945,125","11,282,728","9,569,458","9,912,774","8,719,133","10,155,200","10,195,151","13,760,305","11,611,381","11,191,099","15,153,968","17,674,875","18,887,134","18,775,203","21,214,591","23,022,265","29,166,865","32,881,731","31,799,696"
Gilroy,"8,099,061","9,257,123","11,046,863","10,900,523","10,312,193","11,385,799","10,292,825","10,778,933","10,715,652","10,607,425","9,051,039","8,749,900","9,339,456","10,365,284","10,397,147","10,882,818","11,952,284","13,657,772","17,640,169","18,678,201","19,569,006"
Los Altos,"2,240,177","2,541,784","2,847,426","2,263,109","2,160,038","2,062,470","1,810,495","1,838,196","1,822,582","1,942,222","1,732,996","1,583,317","1,732,565","1,789,528","1,806,476","1,819,880","1,899,832","2,279,301","2,878,054","2,779,348","3,013,341"
Los Altos Hills,"97,243","93,597","105,570","112,272","89,104","70,818","67,047","55,696","77,188","57,282","63,112","60,076","67,166","61,055","72,883","72,031","117,544","36,028","93,539","85,987","72,135"
Los Gatos,"5,626,989","7,851,691","9,215,936","7,150,679","6,722,032","6,851,060","6,312,071","6,580,284","6,839,713","6,889,909","6,313,477","6,330,961","7,360,721","7,275,212","5,858,884","5,917,195","6,150,486","6,570,521","7,766,554","7,510,783","7,505,407"
Milpitas,"13,695,448","16,675,181","19,077,096","14,859,368","12,815,273","12,256,284","11,107,509","12,120,464","12,146,769","11,587,942","12,386,370","11,204,864","12,672,620","14,328,795","15,111,940","13,803,158","15,027,312","18,919,157","26,025,482","26,922,507","25,370,185"
Monte Sereno,"35,342","36,930","24,772","20,711","16,642","16,141","15,444","21,279","16,464","14,944","8,222","10,302","9,203","9,496","11,300","6,406","14,676","25,590","17,608","10,571","11,509"
Morgan Hill,"3,916,015","4,543,960","5,364,832","4,954,997","4,678,270","4,156,490","4,351,843","4,850,631","4,882,414","4,972,766","4,232,228","3,614,293","4,255,312","4,942,712","5,909,462","6,176,854","6,355,517","7,147,598","9,458,088","10,179,692","10,539,189"
Mountain View,"19,454,390","20,810,280","28,373,239","17,752,989","14,891,315","13,032,333","11,552,555","11,435,263","12,199,739","12,380,027","11,848,365","11,018,175","11,141,229","11,296,431","12,299,774","12,059,640","13,679,506","15,965,270","20,452,139","20,245,739","25,054,269"
Palo Alto,"19,500,507","22,400,303","24,978,190","19,419,097","17,498,090","17,558,014","14,941,801","15,249,372","16,209,959","16,012,199","14,258,541","13,882,340","14,832,450","16,194,972","19,297,229","20,795,201","18,887,542","22,497,125","29,516,693","28,907,507","35,456,122"
San Jose,"118,607,584","135,942,573","165,231,914","135,104,325","121,179,561","124,788,919","104,115,986","105,038,285","105,930,927","113,140,064","99,743,895","90,369,945","100,792,835","110,270,896","117,563,868","123,937,310","131,926,442","150,281,232","176,364,002","179,765,081","202,995,163"
Santa Clara,"39,902,397","43,454,254","50,585,763","40,290,964","33,980,316","35,128,381","28,621,492","30,351,214","31,814,418","29,826,700","26,014,262","23,802,362","26,607,089","30,352,325","33,174,390","34,124,631","38,513,887","45,233,401","55,297,280","55,675,947","57,930,885"
Saratoga,"979,192","1,071,122","1,255,727","1,066,607","989,798","898,323","809,149","739,883","755,358","790,780","712,939","753,618","736,136","809,543","744,309","820,025","849,991","990,395","1,160,839","1,100,266","1,189,573"
Sunnyvale,"24,584,224","29,630,554","37,053,867","24,222,546","22,939,946","22,739,821","19,460,968","20,632,840","22,668,286","23,353,470","19,704,354","18,210,416","21,272,297","23,175,546","22,400,119","23,275,238","21,870,490","25,347,123","30,566,890","31,690,467","32,519,536"
Santa Cruz County unincorporated,"7,142,495","7,382,657","8,132,089","7,250,797","7,247,311","7,190,731","6,114,523","6,144,101","6,261,716","6,270,710","6,096,326","5,518,042","5,859,434","6,453,282","6,715,062","7,267,606","7,526,585","8,648,300","10,732,104","11,514,343","11,937,869"
Capitola,"4,570,254","4,827,907","5,218,551","5,125,498","5,200,025","5,331,607","4,193,375","4,061,723","4,132,668","3,904,568","3,236,941","2,955,577","2,990,220","3,144,740","3,556,291","3,742,568","3,857,508","4,382,890","5,654,702","5,639,553","5,824,893"
Santa Cruz,"6,793,710","8,500,293","9,389,361","8,848,873","8,378,344","8,745,062","7,195,536","6,946,726","7,095,027","6,956,658","6,343,157","6,097,117","6,301,914","6,532,308","6,991,913","7,269,203","7,767,577","8,913,044","10,832,823","11,139,001","12,006,757"
Scotts Valley,"1,822,577","1,934,899","2,053,174","1,927,639","1,803,181","1,641,245","1,323,750","1,442,305","1,400,084","1,554,594","1,519,207","1,247,905","1,291,170","1,429,892","1,439,062","1,522,883","1,442,881","1,789,834","1,991,362","1,839,665","2,468,735"
Watsonville,"3,966,460","4,554,549","5,138,698","5,428,864","5,571,703","5,448,110","4,823,789","5,272,911","5,151,710","4,919,534","4,390,333","4,223,156","4,235,880","4,623,597","4,567,141","5,039,393","5,059,767","5,757,041","7,430,728","7,999,665","8,374,881"
Shasta County unincorporated,"2,066,940","2,476,363","2,855,452","2,575,792","2,583,024","2,726,445","2,329,479","2,376,241","2,671,961","2,496,162","2,373,440","2,220,929","2,509,011","2,788,141","2,647,811","2,823,557","2,693,302","2,915,392","3,804,682","3,825,056","4,484,151"
Anderson,"1,044,630","1,161,952","1,237,593","1,315,936","1,350,930","1,413,830","1,259,908","1,290,236","1,582,723","1,746,637","1,672,090","1,590,067","1,517,301","1,644,164","1,699,014","1,738,046","1,808,934","2,031,293","2,571,225","2,934,561","3,249,126"
Redding,"13,256,821","15,368,648","16,589,174","17,789,730","18,746,349","19,622,167","16,943,267","17,459,749","17,339,226","16,322,016","14,388,080","13,933,301","13,815,889","14,626,529","15,196,080","16,035,192","16,217,756","18,131,840","22,854,141","23,803,036","25,319,127"
Shasta Lake,"192,124","228,793","542,316","436,261","469,230","512,924","474,526","454,106","452,474","472,233","336,723","371,800","351,645","316,933","295,131","347,086","429,191","470,665","686,111","732,214","839,706"
Sierra County unincorporated,"153,319","56,598","120,275","103,711","136,897","106,213","102,783","109,673","100,599","98,694","90,251","86,307","88,013","77,066","138,680","82,925","107,214","109,677","150,944","165,734","179,429"
Loyalton,"63,584","102,952","109,030","89,707","129,691","52,082","82,568","87,437","88,203","82,911","55,362","43,845","48,866","37,235","58,576","35,984","49,015","37,724","62,330","62,797","64,870"
Siskiyou County unincorporated,"497,379","518,885","732,881","548,649","572,475","577,833","509,902","563,804","600,224","644,809","603,949","518,095","589,197","680,279","669,174","727,170","809,847","875,098","1,030,211","1,026,474","1,042,076"
Dorris,"19,002","22,940","23,781","23,548","29,585","24,456","21,353","23,130","25,310","27,137","21,349","22,691","23,626","20,551","25,629","21,210","28,078","25,172","29,432","33,863","26,220"
Dunsmuir,"140,498","142,135","106,963","78,652","85,910","83,221","61,356","63,254","66,770","69,136","61,859","59,280","61,902","61,022","64,150","69,908","85,532","89,177","115,771","142,591","136,770"
Etna,"39,018","41,773","44,153","45,682","49,158","46,429","41,289","39,766","42,676","40,583","74,751","24,212","35,802","56,041","50,047","53,715","56,007","58,295","75,083","83,837","85,945"
Fort Jones,"75,532","86,162","87,500","85,994","100,407","95,556","72,075","88,968","94,024","95,747","91,691","79,265","83,007","82,068","86,193","88,146","92,921","98,495","131,946","144,615","155,979"
Montague,"48,844","54,268","59,444","63,411","83,617","62,562","76,214","52,712","83,432","59,064","77,993","47,110","49,358","32,913","34,786","38,635","40,616","36,695","52,147","56,799","69,422"
Mount Shasta,"650,639","669,089","759,172","788,607","801,229","858,342","774,505","739,673","799,125","767,550","706,604","632,439","675,372","708,875","707,489","730,216","735,226","903,169","1,128,790","1,228,987","1,209,908"
Tulelake,"52,551","64,408","74,149","54,559","53,100","66,027","65,385","64,439","77,852","110,682","131,006","93,030","125,079","165,815","106,912","128,354","146,847","68,853","132,050","86,535","132,788"
Weed,"343,678","374,401","392,652","462,984","508,716","526,093","502,712","523,294","512,215","528,935","458,306","402,189","433,707","791,956","848,081","873,027","851,613","859,399","986,210","1,085,596","1,155,651"
Yreka,"1,492,924","1,639,190","1,682,882","1,732,938","1,824,201","1,860,735","1,578,790","1,588,534","1,613,862","1,573,056","1,484,062","1,276,693","1,258,539","1,281,224","1,344,528","1,388,069","1,450,831","1,806,479","2,126,170","2,192,921","2,268,278"
Solano County unincorporated,"1,356,685","1,463,883","1,447,968","1,777,303","1,805,332","1,791,160","2,018,002","1,689,572","1,648,256","1,587,144","4,032,065","1,610,507","1,445,463","1,443,528","1,498,331","1,511,201","1,422,577","1,729,193","2,264,805","2,555,489","2,442,142"
Benicia,"2,642,842","3,751,383","3,801,688","3,667,488","3,775,930","4,007,079","3,597,160","4,090,539","4,617,544","4,720,041","4,695,322","4,658,819","4,338,896","4,709,073","5,013,425","4,355,588","4,622,551","4,561,217","5,703,585","6,197,081","6,547,405"
Dixon,"1,417,129","1,588,297","1,899,561","2,791,042","3,380,290","3,776,063","3,222,565","3,720,953","3,910,581","4,164,328","3,846,086","3,412,043","3,309,517","3,637,676","3,776,141","3,401,208","3,790,946","4,109,803","8,098,757","8,981,728","9,639,469"
Fairfield,"11,612,307","13,365,554","15,056,034","15,189,846","16,630,865","16,978,893","13,729,402","14,197,700","13,763,208","13,106,711","11,181,112","10,385,270","10,587,668","12,441,671","13,313,856","14,187,858","15,731,571","18,455,465","21,564,172","21,088,394","23,376,906"
Rio Vista,"558,107","600,585","737,313","860,818","843,240","879,660","704,738","858,315","817,212","824,372","790,359","573,368","630,521","730,103","700,857","680,380","835,866","814,657","1,073,813","1,124,936","1,339,821"
Suisun City,"778,140","784,381","975,484","897,638","895,510","866,620","758,558","786,511","754,039","752,829","731,490","660,690","600,916","768,260","995,967","791,746","821,332","1,287,353","1,564,678","1,670,261","1,792,581"
Vacaville,"8,324,887","9,801,375","10,881,764","11,333,038","12,194,935","12,898,904","11,590,105","12,126,168","11,827,969","11,281,035","10,031,409","10,597,688","10,871,703","11,843,583","12,651,199","12,813,619","14,444,693","15,873,592","19,498,704","20,310,182","21,351,343"
Vallejo,"8,517,512","9,793,692","11,113,651","11,605,472","12,755,167","12,903,180","10,655,680","10,379,799","10,076,041","9,798,303","8,346,629","7,654,208","7,780,761","8,726,061","8,973,207","9,382,379","9,694,014","11,234,754","13,867,428","14,656,291","15,546,426"
