city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Ukiah,"2,871,147","3,140,273","3,330,647","3,649,162","3,820,912","3,814,784","3,298,216","3,327,685","3,451,476","3,479,881","3,141,402","2,891,379","3,018,774","3,171,208","3,340,944","3,422,393","3,350,910","4,042,264","5,204,119","5,223,959","5,780,661"
Willits,"789,183","877,271","977,030","931,082","996,983","1,025,769","918,383","946,114","1,114,423","1,154,300","1,058,222","941,240","1,003,466","1,178,463","1,190,326","1,223,287","1,171,274","1,308,325","1,604,641","1,533,128","1,471,828"
Merced County unincorporated,"3,686,367","3,970,795","4,090,976","4,273,375","4,570,548","5,125,975","4,473,107","5,180,630","5,234,093","5,230,273","4,804,236","4,188,546","4,515,249","5,335,138","5,646,542","6,332,922","6,715,398","8,125,652","8,190,999","8,859,369","9,743,589"
Atwater,"1,192,822","1,331,714","1,500,726","1,503,775","1,574,936","1,531,771","1,684,909","1,653,673","1,536,534","1,405,634","1,599,045","1,705,856","1,751,449","2,033,135","2,014,919","1,908,662","2,100,104","2,244,260","2,758,465","2,843,605","3,172,069"
Dos Palos,"236,298","252,406","264,731","225,625","231,243","285,069","269,983","271,211","284,719","259,749","320,840","245,724","281,907","343,166","369,563","337,508","375,230","355,641","408,802","475,225","477,320"
Gustine,"165,209","189,880","180,022","210,449","249,895","245,197","221,075","207,326","178,143","194,138","156,375","137,244","137,481","149,649","140,460","131,892","238,181","75,979","200,857","227,609","237,790"
Livingston,"283,561","392,474","465,856","506,435","487,079","604,042","508,318","622,422","698,134","916,351","856,963","794,044","843,060","993,811","990,475","1,016,077","1,101,741","1,121,796","1,226,328","1,331,325","1,415,240"
Los Banos,"1,801,477","2,064,214","2,289,625","2,205,939","2,377,208","2,615,445","2,186,837","2,368,717","2,303,082","2,445,374","2,133,716","2,315,587","2,136,860","2,363,190","2,361,904","2,609,446","2,679,226","3,052,314","3,887,117","4,387,791","4,787,010"
Merced,"7,643,067","8,527,721","8,900,431","9,681,350","9,757,275","10,377,353","9,221,153","9,682,306","9,006,145","8,459,754","7,165,903","6,454,700","6,720,084","7,125,621","7,501,788","7,854,727","8,006,680","8,991,927","11,568,055","11,962,038","12,633,361"
Modoc County unincorporated,"185,845","229,847","224,537","174,731","182,717","141,782","204,806","157,086","180,478","176,584","189,576","158,483","140,709","174,066","185,739","193,033","194,140","226,880","254,357","285,658","274,896"
Alturas,"473,133","410,265","600,059","527,630","677,703","431,689","481,992","487,355","495,246","513,766","491,068","438,540","421,074","524,860","565,898","463,721","499,653","517,095","704,019","635,006","630,094"
Mono County unincorporated,"332,609","362,568","417,452","340,829","434,572","409,854","353,468","372,270","423,542","367,607","382,605","313,909","337,911","327,067","407,579","484,356","347,188","469,944","587,275","609,120","663,342"
Mammoth Lakes,"1,311,067","1,577,399","1,670,641","1,767,230","1,840,508","1,943,186","1,693,903","1,833,705","1,753,763","1,643,504","1,395,231","1,258,013","1,299,056","1,423,115","1,384,493","1,401,754","1,425,306","1,729,407","2,321,220","2,401,539","2,646,365"
Monterey County unincorporated,"3,343,887","6,787,073","7,518,664","7,390,619","6,737,006","6,643,575","6,102,428","6,377,657","6,410,766","6,754,283","6,087,130","5,382,307","6,503,571","6,398,776","6,699,661","7,181,613","9,362,607","8,505,251","10,359,064","11,387,007","13,140,464"
Carmel,"1,831,408","1,918,365","2,384,958","2,111,585","1,883,175","1,880,529","1,728,222","1,610,464","1,696,194","1,722,284","1,412,806","1,256,726","1,360,377","1,499,164","1,516,841","1,671,633","1,642,468","1,903,844","2,378,631","2,566,979","2,582,641"
Del Rey Oaks,"173,057","151,672","175,349","194,744","208,805","200,349","190,105","193,473","189,804","212,272","234,725","204,125","232,167","243,819","234,090","229,831","235,873","312,272","406,865","463,953","438,335"
Gonzales,"220,397","206,051","251,465","280,727","257,031","345,836","318,491","308,483","295,999","338,539","371,860","366,026","418,840","448,374","482,750","466,719","566,724","682,326","1,058,959","991,392","1,030,743"
Greenfield,"476,291","491,380","525,882","502,131","534,600","571,397","485,501","522,779","487,059","545,406","542,378","545,109","611,898","726,001","543,492","683,194","780,984","816,459","1,050,371","1,036,109","1,175,046"
King City,"880,945","959,191","1,197,224","1,098,932","1,081,172","983,902","867,028","843,060","914,697","910,032","801,771","743,821","825,117","926,649","993,639","1,022,757","966,543","940,025","1,211,883","1,205,840","1,431,330"
Marina,"883,869","909,381","1,113,907","966,027","1,040,677","1,045,958","930,399","969,560","1,048,077","1,180,821","1,340,965","1,454,330","1,479,592","1,488,545","1,521,089","1,557,762","1,502,115","1,770,721","2,310,531","2,519,474","2,768,737"
Monterey,"5,905,454","6,730,080","7,303,181","6,801,207","6,422,887","6,379,462","5,527,647","5,337,202","5,493,276","5,529,856","5,239,642","4,936,558","5,286,314","5,436,431","5,934,456","5,863,457","6,285,498","6,961,110","8,365,004","8,514,926","8,928,816"
Pacific Grove,"1,566,431","1,613,330","1,739,593","1,569,917","1,643,348","1,529,904","1,247,913","1,207,879","1,223,960","1,140,905","1,043,345","986,704","1,003,516","1,016,862","1,072,993","1,094,744","1,209,541","1,277,492","1,693,992","1,679,067","1,694,342"
Salinas,"15,781,354","18,186,701","20,435,019","21,211,758","20,725,724","20,683,583","18,033,800","17,873,482","18,320,407","17,544,309","15,896,826","14,345,628","15,113,474","16,703,862","17,770,336","18,307,929","18,719,454","21,932,881","28,080,878","28,460,648","31,235,018"
Sand City,"2,057,446","2,307,458","2,451,982","2,590,507","2,581,845","2,534,828","2,249,883","2,130,395","2,092,498","1,991,173","1,768,460","1,616,488","1,579,428","1,691,032","1,777,374","1,763,195","1,821,942","2,072,889","2,554,865","2,670,912","2,792,936"
Seaside,"3,620,307","4,410,621","4,804,251","5,588,792","5,040,746","4,965,615","4,219,137","4,443,622","4,302,442","3,965,051","3,456,438","3,091,813","3,349,937","3,445,977","3,932,481","4,316,983","4,631,028","5,443,402","7,403,923","7,470,743","8,436,630"
Soledad,"273,247","356,617","375,673","393,800","382,550","360,116","337,266","387,308","394,088","398,638","390,452","363,987","411,451","504,790","520,136","550,873","541,672","595,142","776,455","920,330","1,009,809"
Napa County unincorporated,"3,942,428","4,833,890","4,766,744","4,694,931","6,073,830","5,602,550","4,272,926","4,967,217","5,086,975","5,428,034","4,934,485","4,420,938","4,758,799","5,586,728","5,867,924","6,546,743","7,041,703","8,459,865","10,375,896","10,838,166","11,765,491"
American Canyon,"1,021,750","1,216,090","1,267,464","1,281,681","1,492,438","1,195,433","1,157,570","1,293,834","1,274,169","1,512,561","1,578,803","1,422,484","1,485,456","1,537,814","1,693,575","1,673,659","1,759,498","2,052,351","2,301,545","2,705,202","2,687,062"
Calistoga,"452,702","500,770","611,596","685,170","664,832","647,870","531,446","513,671","552,466","619,857","603,697","513,745","571,927","688,202","678,905","699,114","746,042","986,596","1,085,939","1,094,128","1,155,794"
Napa,"7,831,808","8,981,289","10,436,958","10,341,611","9,746,227","10,469,076","8,807,937","9,174,010","9,210,763","9,372,429","8,942,631","8,320,750","8,521,719","9,295,426","9,863,593","10,606,237","11,201,036","12,398,032","16,018,200","16,586,625","17,920,763"
Saint Helena,"1,581,220","1,800,502","2,068,666","2,070,859","2,113,251","2,121,079","1,787,523","1,699,101","1,895,161","1,981,571","1,762,726","1,542,815","1,506,522","1,613,797","1,737,916","1,893,900","1,975,889","2,271,109","2,858,966","2,820,718","3,200,082"
Yountville,"334,838","431,824","485,810","466,295","424,607","445,940","345,518","417,166","471,756","492,196","521,292","550,552","601,255","701,834","782,514","935,867","924,132","1,110,956","1,301,075","1,313,334","1,381,709"
Nevada County unincorporated,"2,791,062","3,244,262","3,443,106","3,537,173","3,215,058","3,355,908","2,505,342","2,232,219","2,154,375","1,673,030","1,628,807","1,361,525","1,431,492","1,518,598","1,612,656","1,716,416","1,756,352","2,011,861","2,625,140","2,890,010","2,919,069"
Grass Valley,"2,676,959","3,059,676","3,284,883","3,465,227","3,838,474","3,946,744","3,769,556","4,389,326","4,569,981","4,569,530","3,981,517","3,544,758","3,633,242","3,880,820","3,836,075","3,968,448","4,076,668","4,764,521","5,948,586","6,195,142","6,412,768"
Nevada City,"728,118","1,100,256","1,037,411","947,139","990,304","1,178,213","1,066,840","918,533","963,631","784,486","741,158","539,308","604,490","646,964","652,891","697,893","717,364","726,415","953,866","1,042,508","1,080,757"
Truckee,"1,869,612","2,151,414","2,429,770","2,344,138","2,361,954","2,615,003","2,246,372","2,340,086","2,687,360","2,616,106","2,190,523","1,981,697","2,079,918","2,087,041","2,248,287","2,454,179","2,708,333","3,127,692","4,053,188","4,330,243","4,438,345"
Orange County unincorporated,"10,359,194","11,046,240","10,099,371","6,829,529","5,824,295","6,027,888","4,880,201","5,218,761","5,902,426","5,940,690","5,645,816","4,845,782","5,555,745","5,815,946","5,923,157","6,089,560","5,331,916","5,997,635","7,773,653","7,618,572","8,414,990"
Aliso Viejo,NA,NA,NA,"1,776,519","3,119,467","3,158,463","2,957,954","3,166,901","3,364,794","3,125,591","2,953,754","3,040,904","2,952,641","3,235,192","3,479,776","3,552,667","3,580,230","3,583,918","6,107,135","6,445,009","6,229,494"
Anaheim,"42,154,016","44,481,039","48,806,477","51,156,675","52,197,320","53,753,722","47,122,273","49,859,153","48,089,702","47,410,342","42,823,949","37,074,439","40,311,712","43,568,238","46,352,031","50,738,966","52,501,755","62,669,809","78,735,653","79,115,228","83,251,206"
Brea,"13,015,410","13,872,737","15,029,180","14,162,732","13,943,759","14,877,224","13,891,387","14,701,161","13,890,717","13,763,627","12,394,800","11,231,105","12,671,331","13,681,873","13,634,738","14,790,291","14,597,050","16,509,551","20,350,061","19,574,026","22,438,464"
Buena Park,"10,880,534","12,095,793","13,978,779","13,627,899","13,704,086","14,716,198","12,521,041","13,172,486","17,277,702","19,136,062","16,111,080","14,228,184","16,056,498","17,350,095","18,621,815","20,451,398","16,974,294","16,317,798","1,405,100","1,373,986","24,902,097"
Costa Mesa,"29,996,356","32,464,996","35,462,888","34,964,729","35,263,624","39,785,288","34,156,892","34,536,149","34,285,475","33,909,637","29,388,099","27,198,671","29,684,399","31,470,397","34,612,060","36,090,402","38,575,432","44,311,518","56,077,805","55,175,560","62,919,668"
Cypress,"7,179,671","8,698,511","9,563,420","10,340,082","9,521,491","10,351,880","8,497,899","9,893,663","10,104,950","9,714,385","8,770,567","7,842,053","8,852,227","8,099,294","8,499,149","8,861,266","8,758,469","10,224,411","11,223,043","11,542,141","12,206,407"
Dana Point,"2,996,908","3,538,049","3,217,237","3,549,972","3,719,000","3,949,903","3,270,389","3,386,432","3,728,653","3,664,403","3,178,390","2,896,058","3,005,664","3,522,407","3,401,723","3,734,335","4,051,133","4,364,388","5,371,502","5,460,964","5,630,934"
Fountain Valley,"8,748,746","9,173,819","9,627,392","9,143,961","8,953,950","9,563,576","8,445,359","8,488,479","8,760,274","8,392,429","7,424,659","6,985,748","7,327,588","8,026,979","8,064,605","8,206,991","8,332,240","9,472,251","12,263,621","11,991,183","12,739,723"
Fullerton,"14,111,439","15,363,912","16,494,485","14,795,749","15,636,048","16,193,202","13,687,595","14,179,085","13,774,580","14,002,689","12,958,771","11,715,040","12,111,380","13,717,710","13,913,219","14,694,553","14,625,455","16,678,305","21,327,468","21,279,747","22,721,471"
Garden Grove,"14,237,685","15,531,956","16,808,556","17,351,102","17,788,419","18,351,495","15,474,731","15,029,655","14,907,031","14,485,699","12,407,714","11,165,846","12,571,296","13,640,044","14,819,971","14,754,502","14,475,604","17,252,588","21,620,867","20,922,931","23,791,771"
Huntington Beach,"3,633,372","23,653,483","26,131,910","23,103,666","23,689,095","24,846,790","21,306,730","21,074,078","21,876,934","21,905,510","20,152,996","18,837,173","20,435,560","22,073,550","25,595,200","25,038,937","26,481,795","29,453,804","38,006,167","39,152,692","41,292,537"
Irvine,"38,139,924","42,475,947","45,554,730","41,551,298","41,928,256","47,938,129","40,865,176","39,535,985","41,105,628","40,721,118","35,084,171","30,989,324","33,860,494","36,499,361","37,761,249","41,293,602","43,196,183","50,782,655","61,766,593","63,493,845","67,132,998"
La Habra,"4,928,582","5,841,511","6,366,286","6,567,570","7,677,397","8,062,800","6,824,941","7,106,076","7,418,584","7,562,351","6,678,000","5,913,569","5,995,192","6,415,293","6,835,869","6,969,467","7,257,317","8,307,965","10,139,224","10,344,908","11,049,684"
La Palma,"2,211,821","2,524,841","2,915,880","2,976,485","2,928,588","4,246,650","3,385,358","2,831,304","4,861,239","3,308,968","3,414,040","2,139,548","2,625,115","4,228,250","3,386,826","2,197,176","2,690,482","2,172,285","2,910,551","3,165,051","2,598,979"
Laguna Beach,"2,867,685","3,090,006","3,405,475","3,232,948","3,482,399","3,730,835","3,206,131","3,280,146","3,273,045","3,409,245","2,906,513","2,668,077","2,824,005","3,148,901","3,291,937","3,472,883","3,735,836","4,135,693","5,435,643","5,543,419","5,453,229"
Laguna Hills,"7,069,303","7,287,039","6,807,739","6,517,705","6,740,466","6,739,271","6,204,435","5,562,277","5,048,187","4,841,544","4,298,130","3,912,215","3,848,669","3,865,716","3,934,372","4,116,068","4,179,707","4,677,686","5,723,906","5,795,048","5,918,102"
Laguna Niguel,"5,915,172","7,137,237","7,575,024","8,135,642","9,354,316","10,721,121","8,659,576","8,677,867","8,270,951","8,393,474","7,928,859","7,078,102","7,538,497","7,885,367","8,124,807","8,258,144","8,465,474","9,571,389","11,775,858","11,383,530","11,846,330"
Laguna Woods,NA,"849,108","854,641","978,064","1,036,356","914,074","772,913","741,373","720,836","656,029","612,942","602,684","622,582","652,843","638,829","680,591","678,925","762,977","886,044","919,685","952,910"
Lake Forest,"5,263,670","7,981,689","10,206,076","10,568,692","10,740,678","12,173,381","10,689,348","10,995,576","11,360,065","11,077,785","9,466,898","8,366,575","9,349,850","9,836,481","9,946,357","9,819,357","10,281,288","11,649,750","15,234,325","17,392,463","16,049,633"
Los Alamitos,"2,110,004","2,671,576","2,804,087","2,397,306","2,290,122","2,523,068","2,329,181","2,120,950","2,197,517","2,198,947","1,884,543","1,683,076","1,665,509","1,943,751","1,957,467","2,069,491","2,196,621","2,464,279","3,173,914","3,166,683","3,552,912"
Mission Viejo,"10,160,447","11,837,694","13,670,958","13,537,567","14,449,109","15,332,656","13,595,724","13,597,641","13,171,832","12,484,766","10,915,379","10,219,959","10,980,586","11,565,829","12,033,171","12,383,933","12,736,455","14,000,285","17,751,405","16,835,165","19,289,622"
Newport Beach,"16,846,650","19,092,453","20,006,894","19,145,048","20,039,212","21,877,390","19,520,710","20,875,101","21,870,535","22,403,613","19,144,146","17,468,391","18,706,238","20,272,337","21,369,159","22,846,584","25,300,210","27,673,900","35,776,592","34,980,598","39,225,092"
Orange,"23,336,707","26,481,323","26,592,639","26,110,297","27,649,426","29,660,775","25,677,407","26,349,433","26,579,909","26,221,671","23,776,465","20,460,391","22,445,624","24,980,539","25,735,110","27,742,324","30,363,468","32,302,185","42,047,874","41,760,076","45,957,251"
Placentia,"4,290,879","4,580,700","4,800,725","4,960,153","5,080,162","5,508,304","4,270,191","4,464,604","4,254,426","3,905,175","3,607,866","3,097,913","3,661,089","3,932,646","3,896,528","4,192,333","4,415,784","5,344,296","6,661,495","6,561,795","6,468,520"
Rancho Santa Margarita,NA,NA,"3,618,700","4,350,499","4,650,873","5,513,468","4,920,544","4,799,417","4,893,236","4,681,052","3,936,297","3,576,073","3,787,092","4,006,581","4,371,182","4,437,984","4,524,591","5,322,919","6,596,550","6,591,402","7,056,498"
San Clemente,"3,454,018","4,165,313","4,676,061","4,941,403","5,121,189","5,780,886","4,972,479","4,956,937","5,310,723","5,714,673","4,245,051","4,441,157","4,811,840","4,943,020","5,387,707","5,518,074","5,687,475","6,637,264","9,366,263","9,388,667","9,753,934"
San Juan Capistrano,"5,069,790","5,890,544","5,994,904","6,796,149","7,601,264","7,923,082","5,942,282","6,421,361","6,215,565","5,761,314","4,735,053","4,184,162","4,241,049","4,948,815","5,533,491","5,733,008","5,793,208","6,503,983","8,262,025","8,352,063","8,981,870"
Santa Ana,"38,077,419","39,982,939","41,646,684","38,621,532","38,517,721","40,230,929","33,705,844","33,547,365","34,163,411","32,367,114","29,293,337","25,488,857","26,780,847","27,714,742","29,729,848","31,112,821","32,441,229","37,487,299","47,995,504","46,774,791","51,123,942"
Seal Beach,"1,425,894","1,700,798","2,028,509","2,255,055","2,439,141","2,951,079","3,065,675","2,482,957","2,905,482","3,334,448","3,934,680","3,099,383","3,260,613","3,756,737","3,953,206","3,280,114","3,152,422","3,195,148","4,081,721","4,049,277","4,153,951"
Stanton,"3,006,689","3,072,977","3,388,647","3,176,378","3,339,641","3,359,927","2,965,620","3,260,735","3,051,311","2,578,194","2,500,353","2,186,579","2,515,919","2,583,522","2,802,144","2,870,384","3,019,628","3,245,520","4,107,678","4,215,160","4,232,443"
Tustin,"16,005,599","16,943,118","17,987,196","16,760,074","17,783,990","17,997,607","14,772,751","14,618,094","14,620,344","15,298,258","14,387,301","12,445,201","13,750,177","14,646,697","15,919,722","16,043,651","16,586,317","18,817,123","24,421,631","24,425,115","25,872,601"
Villa Park,"139,357","174,797","197,704","193,205","155,725","153,283","136,421","123,965","126,151","137,369","113,387","68,672","151,506","121,173","130,774","203,015","154,361","189,728","235,083","241,967","225,468"
Westminster,"12,094,955","13,452,563","14,200,048","14,487,899","14,876,687","15,637,029","13,026,888","12,789,707","12,347,471","11,928,909","10,214,195","9,377,372","9,538,163","9,728,463","10,456,993","11,207,308","11,515,029","13,309,606","17,167,003","16,588,472","17,272,953"
Yorba Linda,"4,383,770","5,019,121","5,620,945","5,273,800","5,912,621","6,043,028","4,975,831","4,639,771","4,552,252","4,877,394","4,098,065","3,927,218","4,000,576","4,142,014","4,242,651","4,635,699","4,595,544","5,808,090","7,990,746","7,203,021","7,565,673"
Placer County unincorporated,"9,059,401","10,167,382","11,320,604","11,848,807","12,004,009","12,338,599","10,199,617","10,674,413","11,210,344","10,774,644","9,066,763","8,202,360","8,658,559","9,186,937","9,507,927","10,076,280","10,434,914","11,993,123","15,479,809","16,613,651","17,739,038"
Auburn,"2,301,856","2,594,052","2,871,794","2,460,547","2,793,076","2,767,218","2,794,951","3,472,715","3,438,200","3,314,025","2,890,515","2,373,433","2,804,232","3,247,668","3,772,188","3,828,050","4,522,033","5,501,995","6,403,356","6,796,155","7,925,604"
Colfax,"423,839","477,477","485,498","603,571","565,166","599,182","564,972","567,178","559,562","465,602","425,866","380,769","400,835","418,138","525,932","714,438","673,236","821,501","1,126,734","1,278,379","1,408,330"
Lincoln,"614,722","736,038","933,490","1,039,462","1,062,344","1,201,233","1,290,122","1,532,085","1,727,482","1,974,970","1,860,190","1,780,576","1,899,875","2,049,693","2,061,908","2,267,214","2,406,188","2,541,128","3,350,229","3,549,124","3,893,823"
Loomis,"536,722","946,125","972,020","860,779","939,888","951,255","949,275","1,030,736","828,925","833,859","690,915","547,660","585,016","602,871","518,049","834,981","761,629","840,689","1,129,825","1,207,126","1,257,034"
Rocklin,"2,937,840","3,852,748","4,536,063","4,640,202","5,203,614","6,135,913","5,189,115","5,353,508","5,858,022","5,743,120","4,784,597","4,375,367","4,661,291","5,319,628","5,845,775","5,881,767","6,987,931","9,494,977","12,353,909","13,461,025","15,407,433"
Roseville,"19,388,364","23,716,494","28,507,977","31,082,154","34,070,552","37,760,888","32,506,164","33,516,902","32,827,414","31,664,212","26,523,915","25,863,190","26,720,188","29,393,570","31,533,684","34,706,004","35,893,922","40,716,533","51,384,332","52,031,232","54,999,842"
Plumas County unincorporated,"1,404,167","1,574,299","1,781,282","1,735,202","1,858,866","1,881,309","1,643,412","1,692,893","1,684,273","1,621,540","1,415,955","1,185,655","1,198,670","1,365,806","1,313,295","1,370,600","1,321,174","1,487,669","2,028,367","2,267,385","2,144,569"
Portola,"138,748","171,390","195,924","176,702","192,451","200,429","181,193","183,305","199,839","182,942","158,698","145,286","151,129","145,854","165,574","167,286","166,995","197,242","264,984","299,502","267,008"
Riverside County unincorporated,"16,408,444","18,536,769","20,472,208","20,764,428","22,534,707","26,337,928","25,762,478","29,601,452","28,747,654","30,472,109","25,345,433","20,438,270","20,892,165","19,052,997","24,685,325","23,964,782","25,614,069","23,137,809","28,063,763","27,240,995","32,348,337"
Banning,"1,753,056","2,065,128","2,049,817","1,970,984","1,975,771","2,132,582","1,891,057","2,136,497","2,070,066","1,813,185","1,470,864","1,252,884","1,214,341","1,362,173","1,394,466","1,477,618","1,480,082","1,724,975","2,215,686","2,599,410","2,919,354"
Beaumont,"882,286","910,696","1,030,082","1,020,012","1,021,746","1,300,173","1,232,771","1,505,007","2,161,487","2,157,490","2,209,967","2,279,525","2,503,232","2,668,167","2,779,856","2,921,522","3,076,828","3,730,414","4,667,642","4,864,808","5,318,317"
Blythe,"1,275,781","1,346,911","1,449,338","1,524,856","1,791,826","1,536,516","1,321,714","1,430,241","1,487,226","1,431,907","1,253,647","1,106,264","1,148,594","1,238,685","1,455,015","1,348,654","1,483,447","1,445,434","1,670,441","1,684,835","1,561,977"
Calimesa,"222,882","291,227","324,854","295,272","364,363","396,014","368,447","392,568","433,810","429,250","408,516","412,661","476,586","499,825","501,177","525,422","532,683","586,684","721,996","842,884","948,246"
Canyon Lake,"88,795","102,155","133,548","127,700","114,988","130,648","176,824","135,641","58,492","94,321","98,457","113,358","106,673","119,624","142,450","161,462","134,099","191,263","235,874","286,589","444,223"
Cathedral City,"5,933,220","7,226,904","7,483,736","7,830,153","8,614,486","9,229,931","7,923,770","7,887,040","7,364,368","6,190,823","4,927,289","4,460,302","4,831,695","5,174,240","5,510,002","6,012,567","6,313,459","7,390,105","8,805,992","8,955,410","10,198,231"
Coachella,"1,141,695","1,302,584","1,571,014","1,681,962","1,841,724","2,156,483","1,948,394","2,384,383","2,586,990","2,640,122","2,380,079","1,954,630","2,268,860","2,453,597","2,488,909","2,569,519","2,703,751","2,830,954","3,371,373","3,528,111","3,737,017"
Corona,"14,811,536","17,548,796","20,730,882","22,766,733","24,613,316","28,365,741","26,235,882","29,748,020","29,956,836","27,904,631","23,404,636","19,449,160","20,669,120","23,265,252","24,196,849","26,322,127","27,341,243","30,719,043","37,732,392","43,326,694","45,284,865"
Desert Hot Springs,"609,302","647,841","704,367","747,243","744,466","829,177","764,441","795,989","804,346","758,734","728,500","660,729","792,602","1,002,104","1,165,754","1,113,298","1,075,482","1,181,391","1,408,152","1,601,449","1,864,318"
Eastvale,,,,,,,,,,,,,"616,360","2,882,799","4,510,494","4,722,791","4,994,626","5,920,092","7,619,327","8,957,545","9,377,879"
Hemet,"5,778,614","6,937,265","7,437,551","7,525,563","8,112,890","8,909,676","7,718,654","8,760,510","8,555,185","7,730,599","6,286,729","5,943,090","6,512,562","6,749,478","7,140,669","7,847,884","8,134,719","9,177,461","11,686,878","11,655,723","12,155,452"
Indian Wells,"735,652","673,142","743,627","665,394","659,452","762,836","711,719","825,232","884,740","756,452","710,354","625,621","665,518","736,971","699,704","790,028","889,765","919,470","1,324,504","1,035,607","1,523,725"
Indio,"3,946,145","4,722,947","5,428,684","5,832,302","6,159,063","6,912,241","6,824,433","6,869,916","7,030,291","6,003,094","5,302,681","4,558,222","4,971,912","5,541,786","6,197,804","6,884,832","7,499,543","8,766,685","11,196,041","11,197,941","12,766,288"
Jurupa Valley,,,,,,,,,,,,,,"3,187,981","6,224,178","6,817,834","6,904,550","8,277,198","10,263,066","11,012,228","13,078,408"
La Quinta,"2,639,954","2,805,593","3,719,483","3,869,619","4,331,981","5,145,137","5,451,803","5,981,578","6,523,491","6,668,474","5,648,106","5,184,705","5,290,121","5,804,454","5,859,158","6,079,555","6,085,258","6,762,211","8,566,155","8,913,554","9,724,077"
Lake Elsinore,"3,380,972","3,740,835","4,188,817","4,500,161","4,857,694","5,036,547","4,323,503","4,886,748","5,894,686","5,829,493","4,971,923","4,722,737","4,996,181","5,405,788","5,483,307","5,752,949","6,238,060","7,347,506","9,337,693","9,608,063","10,346,091"
Menifee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"791,830","2,867,333","3,223,177","3,570,676","3,747,980","4,005,664","4,476,578","5,425,280","7,219,804","7,742,240","8,765,678"
Moreno Valley,"7,334,843","8,148,758","8,716,062","9,302,106","9,964,372","11,801,634","9,824,080","10,342,083","10,897,987","10,203,151","9,064,715","8,459,155","9,156,713","9,971,018","11,228,404","11,466,677","12,323,638","14,486,018","18,202,827","19,180,781","21,255,389"
Murrieta,"3,285,041","3,724,151","4,107,214","5,316,965","6,288,285","8,308,067","8,207,612","8,900,418","9,418,766","8,999,859","7,635,172","7,342,599","7,606,183","8,237,777","8,818,722","10,007,396","10,180,135","11,906,760","15,567,844","17,436,973","18,725,424"
Norco,"3,366,816","4,062,842","4,444,353","4,815,701","4,985,949","5,604,524","4,459,825","4,822,752","4,477,666","4,108,631","3,286,045","2,695,297","3,018,415","3,275,663","3,607,710","3,978,323","4,267,360","5,032,774","6,525,508","6,726,567","7,516,226"
Palm Desert,"10,765,869","12,856,208","13,501,343","13,206,548","13,444,730","14,968,583","12,830,269","13,149,271","13,442,793","12,951,646","11,241,887","9,970,495","10,938,349","11,867,730","12,414,282","12,754,912","13,254,971","15,049,266","18,473,249","18,592,173","20,700,841"
Palm Springs,"5,547,489","6,333,457","6,768,004","6,844,166","7,019,257","7,743,860","6,648,898","7,406,875","7,150,799","7,059,139","6,505,405","6,442,639","6,973,806","7,680,701","7,973,752","8,088,332","8,678,460","9,688,119","12,316,035","13,239,325","15,046,077"
Perris,"2,932,552","3,054,309","3,703,047","4,167,838","4,254,638","4,945,173","4,204,345","4,980,833","4,693,455","4,554,450","4,634,807","4,006,279","4,376,705","4,870,994","5,377,071","6,265,145","6,379,763","8,020,130","10,793,893","19,378,721","21,238,821"
Rancho Mirage,"2,721,806","3,568,104","3,435,903","3,332,846","3,990,445","4,584,057","3,494,562","4,483,011","4,154,947","4,062,533","3,454,893","2,889,013","2,988,110","3,184,551","3,048,093","3,419,341","3,587,302","4,039,237","5,232,434","5,416,429","6,250,064"
Riverside,"29,781,564","33,663,570","35,983,633","38,499,418","40,918,481","45,533,084","41,682,421","41,913,554","42,085,368","37,554,062","31,865,006","28,648,254","31,399,727","34,084,497","35,928,517","39,396,485","42,955,732","49,839,618","62,205,894","61,330,047","67,429,890"
San Jacinto,"724,630","799,966","846,137","845,745","897,492","1,097,442","974,727","1,060,560","1,115,020","1,572,778","1,571,531","1,442,207","1,553,527","1,659,487","1,712,376","1,737,591","1,798,045","2,214,078","2,814,412","2,873,805","3,383,452"
Temecula,"10,494,800","13,434,921","15,949,829","18,730,917","21,359,799","24,866,715","21,487,904","22,619,705","22,009,738","20,570,732","18,036,574","17,032,389","18,625,796","19,774,192","21,066,317","21,629,382","23,222,224","28,162,845","36,580,692","36,407,152","38,277,702"
Wildomar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"440,326","797,732","899,293","1,022,119","1,029,746","1,070,010","1,163,486","1,328,158","1,685,299","1,712,399","2,259,973"
Sacramento County unincorporated,"71,188,321","80,295,002","83,191,750","81,008,251","81,953,639","79,646,064","62,466,635","63,142,050","60,118,612","57,646,595","51,984,635","44,626,796","44,825,651","48,031,085","51,748,035","53,507,868","55,695,448","63,059,636","82,037,432","86,282,726","93,927,079"
Citrus Heights,"9,803,052","10,639,829","10,968,020","10,466,066","10,786,877","12,138,439","10,067,991","9,720,194","9,295,420","8,955,760","8,142,311","7,691,583","7,860,851","8,073,272","8,328,561","8,244,108","8,338,160","9,583,901","11,833,299","12,037,717","12,695,588"
