Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-BEU-002369,METZ,WF,36,121,3876.0,Acres,825436.0,0,2016-05-22,2016,Monterey
CA-FKU-006574,AVOCADO,WF,37,119,132.0,Acres,50000.0,0,2016-05-15,2016,Fresno
CA-CND-001171,SODA,WF,35,120,2003.0,Acres,500000.0,0,2016-06-05,2016,Santa Barbara
CA-CNF-002642,HOLY,WF,34,118,150.0,Acres,1700000.0,0,2016-08-31,2016,Los Angeles
CA-INF-001763,OWENS RIVER,WF,38,119,5443.0,Acres,4908589.0,4,2016-09-17,2016,Mono
CA-MVU-014498,Border 3,WF,33,117,7609.0,Acres,19500000.0,16,2016-06-19,2016,San Diego
CA-SQF-003384,Jacobson,WF,36,119,1702.0,Acres,2336898.0,0,2016-10-21,2016,Tulare
CA-STF-002609,OLD,WF,38,120,150.0,Acres,700000.0,0,2016-09-13,2016,Tuolumne
CA-KRN-024109,Deer,WF,35,119,1785.0,Acres,5000000.0,0,2016-07-01,2016,Kern
CA-FKU-009100,CURRY,WF,36,120,2944.0,Acres,2400000.0,0,2016-07-02,2016,Kings
CA-TCU-006914,APPALOOSA,WF,38,121,310.0,Acres,1150465.0,0,2016-07-02,2016,San Joaquin
CA-FHL-001475,Stony,WF,36,121,3000.0,Acres,1500000.0,0,2016-06-02,2016,Monterey
CA-LAC-177288,Fish,WF,34,118,4253.0,Acres,7341153.0,0,2016-06-20,2016,Los Angeles
CA-AFV-003151,CANYON,WF,35,121,12742.0,Acres,15800000.0,0,2016-09-18,2016,San Luis Obispo
CA-INF-000992,MARINA,WF,38,119,654.0,Acres,3781618.0,1,2016-06-24,2016,Mono
CA-INF-001421,ROCK CREEK,WF,38,119,122.0,Acres,1100000.0,0,2016-08-05,2016,Mono
CA-INF-001457,HORSESHOE,WF,36,118,369.0,Acres,2697471.0,0,2016-08-09,2016,Kern
CA-SNF-001415,SPRING,WF,37,119,179.0,Acres,666689.0,0,2016-07-12,2016,Fresno
