year,acres_burned
1955.0,408.2532
1955.0,8234.2109
1955.0,910.99646
1955.0,317.85196
1955.0,5847.5986
1955.0,100.63015
1955.0,136.61604
1955.0,446.23639000000003
1955.0,175.04148999999998
1955.0,594.02985
1955.0,3214.3926
1955.0,274.20977999999997
1955.0,121.345
1955.0,1399.8585
1955.0,1115.5206
1955.0,118.24216000000001
1955.0,4231.6924
1955.0,577.9862099999999
1955.0,1134.3446
1955.0,4065.6108
1955.0,206.78731000000002
1955.0,3549.8291
1955.0,637.0065900000001
1955.0,350.57227
1955.0,348.88861
1955.0,889.49969
1955.0,5551.7959
1955.0,6516.8657
1955.0,1486.2374
1955.0,417.7583
1955.0,246.89125
1955.0,368.34348
1955.0,410.39612
1955.0,1259.3383
1955.0,59639.93
1955.0,2364.4661
1955.0,244.40511
1955.0,212.90567000000001
1955.0,1148.1016
1955.0,486.43490999999995
1955.0,251.41475
1955.0,555.41925
1955.0,261.3891
1955.0,477.34015
1955.0,338.7066
1955.0,150.3063
1955.0,662.73828
1955.0,347.53726
1955.0,488.39124000000004
1955.0,1759.3187
1955.0,1126.7784
1955.0,17922.221
1955.0,12226.632
1955.0,79428.711
1955.0,254.30942000000002
1955.0,201.89378
1955.0,537.80103
1955.0,749.2760000000001
1955.0,1497.8445
1955.0,813.5613400000001
1955.0,515.30408
1955.0,600.93701
1955.0,417.75928
1955.0,1050.9189
1955.0,551.42987
1955.0,677.17383
1955.0,430.70352
1955.0,950.3783599999999
1955.0,108.32755
1955.0,11573.623
1955.0,452.60211
1955.0,810.6488
1955.0,293.33633
1955.0,317.19849
1955.0,531.47803
1955.0,472.95565999999997
1955.0,516.3215299999999
1955.0,18252.861
1955.0,258.27338
1955.0,156.7952
1955.0,8197.543
1955.0,1606.5298
1955.0,140.27501
1955.0,357.48779
1955.0,853.07605
1955.0,1766.2379
1955.0,1015.8192
1955.0,336.20596
1955.0,240.42435
1955.0,462.99399000000005
1955.0,568.65448
1955.0,339.94504
1955.0,1479.4277
1955.0,245.51613999999998
1955.0,696.4420200000001
1955.0,3155.6121
1955.0,252.74944
1955.0,366.40948
1955.0,651.66815
1955.0,265.29874
1955.0,1530.8329
1955.0,498.07162
1955.0,445.62589
1955.0,374.84985
1955.0,194.99397
1955.0,250.99849
1955.0,530.5697
1955.0,1220.969
1955.0,13956.837
1955.0,488.64493
1955.0,522.12787
1955.0,243.3821
1955.0,332.68616000000003
1955.0,4216.2236
1955.0,17903.75
1955.0,113.94859
1955.0,745.6094400000001
1955.0,4156.9785
1955.0,447.30643
1955.0,1368.3959
1955.0,22508.656000000003
1955.0,4994.3667
1955.0,515.10791
1955.0,409.31256
1955.0,729.24731
1955.0,1291.2302
1955.0,388.39597000000003
1955.0,121.96977
1955.0,924.6610699999999
1955.0,408.07532000000003
1955.0,813.9527
1956.0,312.97076
1956.0,128.24306
1956.0,679.62286
1956.0,741.03912
1956.0,439.48584000000005
1956.0,46601.715
1956.0,2781.1309
1956.0,14444.333
1956.0,795.2533
1956.0,159.70625
1956.0,504.79825
1956.0,209.41391000000002
1956.0,150.34259
1956.0,2194.4673
1956.0,162.4053
1956.0,709.9699099999999
1956.0,386.9856
1956.0,389.40828999999997
1956.0,377.10272000000003
1956.0,116.74351000000001
1956.0,757.8241
1956.0,197.88326999999998
1956.0,175.28003
1956.0,146.35146
1956.0,1551.6459
1956.0,205.37548999999999
1956.0,409.26419
1956.0,139.71451000000002
1956.0,599.43488
1956.0,578.72113
1956.0,447.71270999999996
1956.0,279.60956
1956.0,10401.087
1956.0,490.46078
1956.0,1170.3763
1956.0,349.67871
1956.0,316.5762
1956.0,263.76495
1956.0,1212.0433
1956.0,434.67661
1956.0,117.83583999999999
1956.0,113.70388999999999
1956.0,242.79272000000003
1956.0,2099.051
1956.0,671.5189799999999
1956.0,4840.8247
1956.0,606.89276
1956.0,35170.105
1956.0,226.31706
1956.0,380.73206
1956.0,112.84715
1956.0,1387.0646
1956.0,3172.8411
1956.0,406.44992
1956.0,2053.3259
1956.0,286.27945
1956.0,233.01352999999997
1956.0,516.0953400000001
1956.0,10697.9
1956.0,7782.1987
1956.0,448.6792
1956.0,1827.5541
1956.0,903.15588
1956.0,488.97537
1956.0,1595.6095
1956.0,134.17664
1956.0,125.73875
1956.0,217.90865
1956.0,436.55315999999993
1956.0,118.37181000000001
1956.0,245.44301000000002
1956.0,173.89226000000002
1956.0,122.45608999999999
1956.0,166.89588999999998
1956.0,501.58878
1956.0,2826.0503
1956.0,164.46403999999998
1956.0,609.4682
1956.0,1835.2004
1956.0,168.52583
1956.0,862.5012800000001
1957.0,418.07245
1957.0,1563.9338
1957.0,379.16534
1957.0,216.20775
1957.0,410.57324
1957.0,928.4295699999999
1957.0,432.33807
1957.0,599.79395
1957.0,526.72131
1957.0,332.84817999999996
1957.0,1082.0696
1957.0,106.93903
1957.0,7309.9634
1957.0,282.1265
1957.0,562.03735
1957.0,817.1458700000001
1957.0,327.35607999999996
1957.0,863.85474
1957.0,326.01111000000003
1957.0,852.5788
1957.0,2652.1814
1957.0,1629.0203
1957.0,211.89265
1957.0,1731.7538
1957.0,878.9304800000001
1957.0,100.41015
1957.0,1072.017
1957.0,4733.8276
1957.0,647.05969
1957.0,803.12347
1957.0,187.35234
1957.0,417.086
1957.0,251.18642000000003
1957.0,12182.706
1957.0,189.17866999999998
1957.0,408.23672
1957.0,400.34982
1957.0,143.14563
1957.0,169.9894
1957.0,380.63199
1957.0,100.40975999999999
1957.0,147.22165
1957.0,281.4014
1957.0,119.26453000000001
1957.0,248.9379
1957.0,210.85602000000003
1957.0,730.65912
1957.0,24708.084
1957.0,461.48022000000003
1957.0,283.89597000000003
1957.0,10738.072
1957.0,324.49429
1957.0,298.5285
1957.0,1979.3947
1957.0,16627.814
1957.0,154.60233
1957.0,155.18321
1957.0,2474.324
1957.0,759.38593
1957.0,198.91141000000002
1957.0,337.03927999999996
1957.0,3734.0505
1957.0,4471.564
1957.0,219.4959
1957.0,666.21497
1957.0,1115.9022
1957.0,2307.1497
1957.0,3723.0691
1957.0,2958.5969
1957.0,4280.1831
1957.0,2570.7515
1957.0,2304.4102
1957.0,328.07239
1957.0,1058.027
1957.0,794.7753299999999
1957.0,6258.8164
1957.0,578.7559200000001
1957.0,558.50793
1957.0,11667.706
1957.0,278.28448
1957.0,862.13397
1957.0,294.32596
1957.0,219.18488
1957.0,453.48297
1957.0,968.04395
1957.0,3548.8733
1957.0,611.57056
1957.0,535.25757
1957.0,584.3418
1957.0,5948.688
1957.0,438.61080999999996
1957.0,1021.0637
1957.0,759.91327
1957.0,524.23969
1957.0,1891.9562
1957.0,1820.6353
1957.0,568.6245700000001
1957.0,468.27628
1957.0,1450.6915
1957.0,1384.7495
1957.0,951.82483
1957.0,1325.0549
1957.0,568.61816
1957.0,516.41138
1957.0,947.4663699999999
1957.0,2030.5197
1957.0,673.84973
1957.0,2138.6619
1957.0,182.27456999999998
1957.0,437.25226
1957.0,332.80472000000003
1957.0,325.46844
1957.0,346.4209
1957.0,308.55048
1957.0,487.51718
1957.0,347.29932
1957.0,430.18149000000005
1957.0,379.92859
1957.0,273.64703
1957.0,2788.7224
1957.0,873.94
1957.0,472.33182
1957.0,485.28494000000006
1957.0,1202.5182
1958.0,1272.1066
1958.0,750.42749
1958.0,68105.898
1958.0,123.24958000000001
1958.0,304.59708
1958.0,4168.0923
1958.0,5116.231
1958.0,1041.6396
1958.0,147.49473999999998
1958.0,625.8996599999999
1958.0,1470.3348
1958.0,722.65277
1958.0,443.65826
1958.0,11774.586000000001
1958.0,386.34055
1958.0,200.56406
1958.0,379.73181
1958.0,204.08698
1958.0,4173.9399
1958.0,516.39758
1958.0,506.40332
1958.0,3960.0984
1958.0,235.70002999999997
1958.0,1277.0465
1958.0,713.49506
1958.0,267.62891
1958.0,175.83418
1958.0,367.91208
1958.0,238.08041
1958.0,453.63434000000007
1958.0,241.38097000000002
1958.0,175.11903
1958.0,383.70959
1958.0,634.0415
1958.0,1939.8461
1958.0,506.60582999999997
1958.0,237.99303999999998
1958.0,984.23096
1958.0,523.9256
1958.0,318.30905
1958.0,689.45251
1958.0,1682.2162
1958.0,155.92413
1958.0,512.63574
1958.0,2282.0601
1958.0,385.14083999999997
1958.0,502.92841
1958.0,726.01697
1958.0,769.4844400000001
1958.0,371.69946
1958.0,1223.1947
1958.0,875.02771
1958.0,146.48285
1958.0,1170.4453
1958.0,106.94686000000002
1958.0,4239.6631
1958.0,18119.686
1958.0,551.7470099999999
1958.0,300.5108
1958.0,435.88122999999996
1958.0,946.6192599999999
1958.0,554.37335
1958.0,176.11594
1958.0,391.71796
1958.0,132.5099
1958.0,763.9682
1958.0,1244.8347
1958.0,214.28079
1958.0,427.79208
1958.0,600.8244599999999
1958.0,819.3215299999999
1958.0,398.85857999999996
1958.0,976.04718
1958.0,288.85974
1958.0,777.42346
1958.0,140.16342
1958.0,293.59055
1958.0,171.30122
1958.0,4314.5171
1958.0,282.41641
1958.0,389.82236
1958.0,2016.2324
1958.0,2380.3757
1958.0,407.76425
1958.0,313.71286000000003
1958.0,1245.9047
1958.0,172.89526
1958.0,1587.9976
1958.0,397.87595
1958.0,411.53012
1958.0,293.04495
1958.0,829.44452
1958.0,291.86481000000003
1958.0,192.86299
1958.0,831.11945
1958.0,351.14526
1958.0,2808.6711
1958.0,443.92035
1958.0,760.90613
1958.0,17213.537
1958.0,1177.5415
1958.0,1024.6699
1958.0,109.55724
1958.0,1223.234
1958.0,740.47131
1958.0,1205.6907
1958.0,551.25354
1958.0,943.08405
1958.0,308.34612999999996
1958.0,955.64124
