City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Solvang,Santa Barbara,179.32 ,188.28 ,178.82 ,180.85 ,174.64 ,178.64 ,148.71 ,141.08 ,145.90 ,162.16 ,140.45 ,125.14 ,138.26 ,153.94 ,154.50 ,159.91 ,173.40 ,193.74 ,228.98 ,241.01 ,251.39 
Santa Clara County unincorporated,SANTA CLARA,29.97 ,36.66 ,38.33 ,38.94 ,36.70 ,42.52 ,33.32 ,35.38 ,38.03 ,34.00 ,36.72 ,29.32 ,37.51 ,41.69 ,38.23 ,38.74 ,44.69 ,45.93 ,51.93 ,55.70 ,68.99 
Campbell,Santa Clara,236.18 ,258.18 ,306.29 ,251.83 ,233.21 ,276.09 ,197.45 ,187.17 ,187.08 ,186.15 ,166.73 ,147.70 ,155.79 ,178.51 ,180.81 ,185.60 ,197.56 ,216.02 ,264.95 ,271.25 ,279.52 
Cupertino,Santa Clara,199.31 ,250.00 ,254.18 ,216.36 ,183.44 ,188.36 ,163.78 ,188.62 ,184.82 ,249.92 ,207.94 ,198.31 ,258.31 ,299.92 ,317.58 ,315.34 ,356.07 ,385.85 ,485.48 ,547.20 ,531.07 
Gilroy,Santa Clara,208.00 ,230.55 ,257.97 ,248.51 ,229.29 ,246.47 ,216.77 ,222.12 ,215.83 ,208.21 ,175.72 ,168.18 ,189.38 ,206.97 ,200.89 ,206.97 ,222.77 ,250.96 ,318.78 ,335.85 ,349.90 
Los Altos,Santa Clara,78.90 ,88.87 ,102.05 ,81.33 ,77.92 ,74.97 ,65.82 ,66.58 ,64.85 ,68.94 ,60.90 ,54.86 ,59.46 ,60.84 ,60.05 ,60.26 ,62.47 ,73.16 ,91.96 ,88.62 ,96.61 
Los Altos Hills,Santa Clara,11.83 ,11.27 ,13.26 ,14.04 ,10.83 ,8.48 ,7.97 ,6.57 ,8.97 ,6.51 ,7.10 ,6.64 ,8.43 ,7.62 ,8.86 ,8.69 ,14.15 ,4.32 ,11.11 ,10.04 ,8.21 
Los Gatos,Santa Clara,186.50 ,257.80 ,319.20 ,247.58 ,232.52 ,238.30 ,218.69 ,226.99 ,232.59 ,228.37 ,207.02 ,205.54 ,248.56 ,244.07 ,194.95 ,195.66 ,203.46 ,217.06 ,255.08 ,245.44 ,242.20 
Milpitas,Santa Clara,213.61 ,255.54 ,302.41 ,233.38 ,197.01 ,189.64 ,171.54 ,185.68 ,182.47 ,167.61 ,174.91 ,156.60 ,190.17 ,214.30 ,222.05 ,196.84 ,205.93 ,255.37 ,350.15 ,359.61 ,332.81 
Monte Sereno,Santa Clara,10.30 ,10.65 ,7.07 ,5.95 ,4.75 ,4.61 ,4.42 ,6.06 ,4.62 ,4.19 ,2.27 ,2.81 ,2.74 ,2.82 ,3.30 ,1.87 ,4.26 ,7.38 ,4.99 ,2.91 ,3.04 
Morgan Hill,Santa Clara,123.20 ,137.31 ,156.95 ,142.68 ,133.98 ,117.12 ,119.95 ,130.78 ,127.09 ,127.34 ,106.30 ,89.81 ,111.24 ,126.52 ,147.95 ,150.57 ,151.35 ,165.39 ,216.53 ,228.69 ,230.41 
Mountain View,Santa Clara,259.59 ,273.73 ,397.00 ,248.31 ,206.81 ,181.98 ,161.02 ,158.83 ,166.52 ,168.17 ,158.48 ,145.38 ,149.31 ,150.30 ,159.59 ,155.71 ,173.22 ,199.26 ,252.82 ,248.33 ,305.57 
Palo Alto,Santa Clara,319.77 ,364.20 ,413.86 ,321.57 ,289.39 ,291.44 ,243.23 ,245.37 ,258.88 ,253.77 ,221.12 ,212.24 ,228.71 ,247.47 ,287.20 ,307.47 ,276.49 ,325.18 ,425.03 ,414.62 ,510.92 
San Jose,Santa Clara,130.92 ,147.19 ,182.25 ,147.42 ,131.01 ,134.73 ,110.63 ,110.14 ,108.80 ,114.83 ,99.06 ,88.33 ,105.28 ,113.70 ,118.08 ,122.67 ,128.59 ,145.16 ,169.13 ,170.99 ,194.62 
Santa Clara,Santa Clara,389.93 ,422.32 ,488.61 ,386.90 ,321.08 ,327.68 ,263.36 ,274.00 ,278.49 ,259.32 ,221.89 ,200.31 ,225.49 ,255.85 ,272.63 ,278.56 ,312.73 ,361.10 ,440.52 ,429.59 ,450.06 
Saratoga,Santa Clara,31.44 ,34.20 ,41.90 ,35.09 ,32.47 ,29.64 ,26.33 ,23.99 ,24.06 ,25.14 ,22.51 ,23.55 ,24.41 ,26.70 ,24.05 ,26.40 ,27.33 ,31.72 ,37.12 ,35.00 ,37.88 
Sunnyvale,Santa Clara,185.57 ,222.43 ,279.42 ,182.66 ,173.13 ,172.65 ,146.81 ,154.50 ,167.02 ,170.52 ,141.94 ,129.66 ,150.98 ,162.44 ,153.04 ,158.24 ,147.42 ,169.32 ,202.97 ,206.60 ,209.04 
Santa Cruz County unincorporated,SANTA CRUZ,52.01 ,54.55 ,60.62 ,54.00 ,54.08 ,53.93 ,46.13 ,46.15 ,46.93 ,46.46 ,44.85 ,42.53 ,44.93 ,49.05 ,50.51 ,54.24 ,55.76 ,63.68 ,79.18 ,85.43 ,89.21 
Capitola,Santa Cruz,411.59 ,431.80 ,517.25 ,507.37 ,512.92 ,530.09 ,422.42 ,408.42 ,414.93 ,390.93 ,321.35 ,289.82 ,301.34 ,315.83 ,350.30 ,366.38 ,370.17 ,416.11 ,534.98 ,533.90 ,568.84 
Santa Cruz,Santa Cruz,122.26 ,151.67 ,172.47 ,161.70 ,150.60 ,155.36 ,127.42 ,122.03 ,123.28 ,119.99 ,107.54 ,102.16 ,102.90 ,105.66 ,110.40 ,113.90 ,119.44 ,135.40 ,163.71 ,167.62 ,182.45 
Scotts Valley,Santa Cruz,170.85 ,178.00 ,179.39 ,167.34 ,155.11 ,141.51 ,114.35 ,124.27 ,120.54 ,133.27 ,129.14 ,104.84 ,111.49 ,123.13 ,122.00 ,127.50 ,118.88 ,146.77 ,163.28 ,150.85 ,204.33 
Watsonville,Santa Cruz,106.04 ,119.59 ,109.28 ,114.06 ,116.80 ,112.81 ,97.22 ,105.02 ,100.51 ,95.42 ,84.62 ,80.38 ,82.69 ,89.81 ,87.44 ,95.86 ,95.24 ,107.71 ,139.03 ,149.71 ,157.95 
Shasta County unincorporated,SHASTA,30.16 ,38.53 ,43.92 ,39.00 ,38.35 ,39.91 ,33.81 ,34.12 ,38.07 ,35.21 ,33.39 ,33.02 ,37.18 ,41.40 ,39.17 ,41.80 ,39.99 ,43.83 ,57.35 ,57.54 ,69.05 
Anderson,Shasta,120.98 ,132.22 ,135.05 ,140.91 ,142.08 ,140.39 ,119.66 ,120.84 ,149.40 ,165.72 ,155.33 ,146.87 ,152.00 ,161.00 ,166.42 ,169.14 ,175.68 ,198.80 ,251.10 ,285.94 ,311.49 
Redding,Shasta,169.03 ,193.09 ,200.66 ,210.23 ,218.74 ,224.82 ,189.96 ,194.06 ,192.56 ,180.97 ,158.29 ,152.18 ,153.42 ,161.90 ,167.69 ,176.24 ,177.49 ,199.08 ,250.54 ,260.55 ,272.72 
Shasta Lake,Shasta,20.61 ,24.31 ,59.11 ,46.44 ,48.23 ,51.12 ,46.11 ,43.98 ,43.96 ,46.10 ,32.79 ,36.12 ,34.81 ,31.40 ,29.28 ,34.38 ,42.28 ,46.62 ,67.70 ,72.19 ,81.72 
Sierra County unincorporated,SIERRA,63.75 ,21.02 ,43.83 ,37.99 ,50.50 ,39.94 ,39.31 ,42.26 ,39.19 ,39.02 ,35.87 ,34.93 ,35.58 ,31.24 ,56.53 ,33.99 ,44.05 ,45.19 ,62.04 ,68.06 ,73.96 
Loyalton,Sierra,75.52 ,126.79 ,126.63 ,105.54 ,151.51 ,59.32 ,93.40 ,99.02 ,100.46 ,97.77 ,65.75 ,53.15 ,64.90 ,49.71 ,76.07 ,46.98 ,64.58 ,49.90 ,82.01 ,82.96 ,87.19 
Siskiyou County unincorporated,SISKIYOU,20.67 ,21.91 ,30.76 ,22.93 ,23.76 ,23.66 ,20.57 ,22.46 ,23.89 ,25.46 ,23.83 ,21.33 ,24.24 ,28.04 ,27.59 ,29.94 ,33.16 ,35.92 ,42.38 ,42.26 ,42.95 
Dorris,Siskiyou,22.51 ,27.12 ,26.84 ,26.76 ,33.66 ,27.79 ,23.91 ,26.05 ,28.99 ,31.59 ,24.74 ,26.45 ,25.30 ,22.07 ,27.01 ,22.21 ,28.48 ,25.15 ,29.88 ,35.06 ,29.04 
Dunsmuir,Siskiyou,73.10 ,74.42 ,55.71 ,41.35 ,45.60 ,44.22 ,32.22 ,33.50 ,36.07 ,37.92 ,33.90 ,32.68 ,37.72 ,37.37 ,38.25 ,41.64 ,50.37 ,52.46 ,68.58 ,84.88 ,86.51 
Etna,Siskiyou,51.61 ,55.11 ,56.53 ,59.02 ,63.92 ,60.38 ,52.93 ,51.24 ,56.23 ,54.26 ,99.40 ,32.41 ,48.84 ,76.45 ,67.81 ,72.59 ,74.38 ,77.21 ,100.11 ,112.68 ,119.37 
Fort Jones,Siskiyou,118.76 ,135.05 ,132.17 ,130.69 ,153.06 ,144.78 ,106.78 ,131.80 ,141.18 ,146.40 ,139.99 ,120.46 ,111.27 ,110.01 ,118.40 ,120.42 ,123.73 ,129.94 ,175.93 ,195.69 ,225.40 
Montague,Siskiyou,36.89 ,40.77 ,40.88 ,43.79 ,57.75 ,42.65 ,50.41 ,34.61 ,55.11 ,39.67 ,52.20 ,31.66 ,34.40 ,23.03 ,24.34 ,27.09 ,28.60 ,25.90 ,36.65 ,39.78 ,48.89 
Mount Shasta,Siskiyou,178.01 ,181.18 ,207.65 ,216.89 ,220.79 ,235.03 ,208.31 ,200.02 ,219.42 ,214.22 ,195.84 ,175.92 ,200.05 ,210.54 ,211.19 ,217.07 ,214.16 ,261.11 ,329.77 ,363.07 ,368.54 
Tulelake,Siskiyou,59.51 ,72.78 ,72.77 ,53.97 ,52.99 ,65.96 ,64.61 ,64.18 ,79.20 ,114.70 ,135.48 ,96.50 ,124.46 ,165.48 ,108.87 ,131.11 ,152.02 ,72.02 ,136.70 ,88.57 ,132.39 
Weed,Siskiyou,116.62 ,127.04 ,132.03 ,154.53 ,170.54 ,177.55 ,167.57 ,177.15 ,169.05 ,175.43 ,151.56 ,133.66 ,145.25 ,266.65 ,290.84 ,302.82 ,321.48 ,316.65 ,356.93 ,392.05 ,413.77 
Yreka,Siskiyou,216.43 ,237.49 ,230.91 ,239.39 ,250.16 ,254.44 ,213.12 ,216.48 ,219.39 ,212.55 ,199.39 ,172.18 ,161.60 ,164.68 ,173.44 ,179.01 ,185.84 ,230.89 ,272.48 ,279.71 ,296.16 
Solano County unincorporated,SOLANO,65.78 ,75.83 ,74.15 ,90.11 ,91.56 ,90.65 ,103.29 ,84.77 ,82.26 ,78.64 ,200.04 ,85.51 ,76.89 ,76.47 ,79.32 ,79.49 ,74.48 ,90.42 ,117.98 ,133.42 ,127.79 
Benicia,Solano,92.22 ,129.34 ,140.99 ,135.97 ,139.67 ,148.47 ,132.20 ,149.73 ,165.41 ,169.69 ,167.83 ,165.88 ,161.26 ,174.07 ,186.82 ,161.29 ,169.85 ,167.41 ,207.77 ,225.36 ,237.48 
Dixon,Solano,93.88 ,102.00 ,118.01 ,173.09 ,209.01 ,231.31 ,188.38 ,211.73 ,221.64 ,238.27 ,218.86 ,193.81 ,180.94 ,197.99 ,203.57 ,178.64 ,197.04 ,212.08 ,411.65 ,451.43 ,486.99 
Fairfield,Solano,125.66 ,140.21 ,154.25 ,151.71 ,162.26 ,163.89 ,130.45 ,134.45 ,130.55 ,123.48 ,105.05 ,98.02 ,99.93 ,116.39 ,121.69 ,127.92 ,140.23 ,163.07 ,186.95 ,181.55 ,199.55 
Rio Vista,Solano,128.45 ,123.78 ,155.52 ,161.63 ,147.50 ,140.21 ,103.50 ,116.37 ,104.46 ,102.48 ,96.13 ,68.88 ,85.52 ,97.93 ,91.57 ,85.53 ,101.82 ,95.74 ,120.75 ,122.44 ,142.29 
Suisun City,Solano,29.12 ,28.79 ,37.04 ,33.75 ,33.33 ,31.61 ,27.48 ,28.34 ,26.95 ,26.86 ,25.35 ,22.81 ,21.47 ,27.32 ,35.32 ,27.86 ,28.45 ,44.45 ,53.67 ,57.22 ,60.87 
Vacaville,Solano,93.20 ,107.16 ,120.67 ,123.02 ,129.83 ,135.66 ,120.27 ,125.80 ,122.58 ,117.02 ,104.01 ,108.91 ,117.77 ,128.02 ,136.07 ,137.05 ,153.20 ,165.70 ,199.50 ,205.20 ,216.09 
Vallejo,Solano,75.59 ,85.37 ,94.54 ,97.67 ,106.20 ,106.56 ,88.26 ,85.71 ,82.98 ,81.37 ,68.95 ,63.03 ,67.21 ,74.90 ,76.95 ,79.95 ,82.26 ,94.81 ,116.68 ,122.90 ,130.05 
Sonoma County unincorporated,SONOMA,68.44 ,77.46 ,85.53 ,80.78 ,82.14 ,82.07 ,69.92 ,71.41 ,75.78 ,75.53 ,69.97 ,63.53 ,68.04 ,74.17 ,78.08 ,85.06 ,87.64 ,101.62 ,132.03 ,145.10 ,157.94 
Cloverdale,Sonoma,48.06 ,51.57 ,53.54 ,62.84 ,56.76 ,55.98 ,42.43 ,43.03 ,49.63 ,54.26 ,48.50 ,45.34 ,47.64 ,50.32 ,56.01 ,58.01 ,64.89 ,63.63 ,89.91 ,106.82 ,138.50 
Cotati,Sonoma,126.97 ,151.95 ,161.28 ,162.42 ,164.95 ,159.37 ,146.82 ,146.11 ,204.39 ,214.35 ,156.40 ,151.32 ,154.59 ,163.71 ,166.16 ,194.14 ,191.32 ,211.69 ,272.03 ,277.79 ,297.49 
Healdsburg,Sonoma,212.77 ,226.18 ,232.52 ,236.00 ,241.96 ,242.11 ,198.28 ,203.86 ,212.70 ,212.83 ,204.01 ,173.14 ,205.60 ,204.05 ,221.84 ,229.04 ,253.49 ,290.62 ,373.58 ,379.18 ,386.11 
Petaluma,Sonoma,153.34 ,179.83 ,196.93 ,175.83 ,179.99 ,179.75 ,148.53 ,150.05 ,150.13 ,149.19 ,127.35 ,109.86 ,114.43 ,121.63 ,128.07 ,142.52 ,148.81 ,160.71 ,200.97 ,210.95 ,211.48 
Rohnert Park,Sonoma,124.55 ,147.08 ,139.90 ,139.32 ,144.90 ,161.68 ,131.19 ,136.74 ,131.45 ,124.73 ,111.81 ,102.02 ,112.94 ,111.93 ,115.72 ,123.80 ,122.40 ,129.95 ,169.13 ,185.76 ,197.13 
Santa Rosa,Sonoma,173.37 ,192.40 ,203.90 ,189.04 ,181.36 ,188.75 ,153.75 ,155.42 ,152.24 ,146.17 ,129.22 ,113.04 ,117.37 ,126.19 ,130.27 ,137.79 ,144.42 ,162.38 ,202.11 ,207.66 ,230.73 
Sebastopol,Sonoma,157.13 ,168.78 ,191.53 ,204.68 ,195.09 ,191.28 ,162.54 ,147.72 ,155.22 ,141.16 ,142.21 ,127.85 ,136.00 ,135.66 ,154.85 ,160.67 ,161.58 ,180.50 ,225.86 ,239.64 ,250.61 
Sonoma,Sonoma,174.26 ,195.78 ,210.76 ,222.57 ,224.39 ,216.51 ,175.76 ,171.31 ,176.62 ,167.87 ,168.41 ,141.87 ,148.44 ,161.32 ,175.96 ,183.66 ,193.89 ,222.12 ,268.82 ,267.20 ,269.75 
Windsor,Sonoma,73.79 ,97.43 ,93.45 ,110.85 ,119.47 ,121.35 ,102.14 ,107.03 ,108.23 ,105.66 ,94.02 ,81.39 ,84.03 ,92.74 ,100.03 ,109.72 ,106.12 ,120.94 ,150.26 ,160.64 ,178.08 
Stanislaus County unincorporated,STANISLAUS,107.83 ,129.06 ,138.48 ,140.24 ,148.93 ,158.33 ,138.60 ,146.89 ,139.05 ,130.71 ,117.84 ,95.06 ,104.93 ,118.04 ,132.86 ,140.28 ,147.32 ,168.72 ,220.29 ,227.53 ,246.25 
Ceres,Stanislaus,87.80 ,99.74 ,98.44 ,101.00 ,97.95 ,102.22 ,84.71 ,86.28 ,90.06 ,83.58 ,76.09 ,72.88 ,71.43 ,77.91 ,82.68 ,86.41 ,82.95 ,92.53 ,117.55 ,122.49 ,137.91 
Hughson,Stanislaus,44.46 ,50.18 ,53.59 ,69.29 ,74.62 ,86.85 ,74.93 ,69.92 ,61.12 ,54.72 ,54.10 ,46.81 ,47.32 ,47.37 ,57.59 ,77.45 ,98.93 ,112.46 ,135.05 ,122.86 ,129.72 
Modesto,Stanislaus,103.38 ,110.95 ,120.15 ,122.18 ,125.45 ,131.40 ,106.74 ,105.72 ,99.66 ,95.72 ,90.11 ,84.55 ,93.49 ,101.06 ,101.69 ,105.25 ,103.79 ,113.01 ,144.43 ,141.70 ,150.90 
Newman,Stanislaus,55.44 ,59.34 ,51.89 ,59.28 ,57.15 ,56.97 ,40.57 ,36.17 ,38.15 ,36.23 ,29.21 ,18.39 ,28.48 ,34.66 ,31.00 ,29.63 ,36.53 ,35.21 ,43.42 ,42.04 ,47.62 
Oakdale,Stanislaus,138.35 ,150.35 ,172.42 ,165.89 ,175.93 ,172.72 ,143.85 ,141.42 ,128.19 ,123.96 ,104.00 ,90.66 ,94.13 ,96.43 ,98.90 ,98.26 ,105.70 ,114.91 ,147.73 ,140.54 ,154.54 
Patterson,Stanislaus,67.77 ,65.43 ,64.13 ,56.54 ,58.61 ,65.89 ,50.10 ,48.44 ,47.28 ,48.92 ,47.36 ,43.61 ,49.77 ,55.13 ,90.69 ,114.45 ,125.92 ,158.63 ,198.52 ,252.84 ,232.74 
Riverbank,Stanislaus,32.69 ,51.47 ,53.55 ,52.25 ,63.30 ,73.98 ,44.47 ,55.01 ,74.79 ,79.69 ,79.67 ,78.75 ,77.85 ,85.79 ,81.19 ,86.14 ,85.88 ,99.62 ,128.80 ,130.69 ,144.75 
Turlock,Stanislaus,107.16 ,115.94 ,118.50 ,126.48 ,130.55 ,129.55 ,120.26 ,122.98 ,119.25 ,113.84 ,106.20 ,95.06 ,109.30 ,113.34 ,114.28 ,123.95 ,127.79 ,147.20 ,188.34 ,184.36 ,195.10 
Waterford,Stanislaus,33.61 ,36.12 ,35.13 ,35.30 ,36.18 ,37.00 ,33.01 ,32.47 ,33.83 ,36.44 ,31.00 ,26.68 ,31.75 ,0.00 ,38.01 ,39.92 ,42.85 ,52.92 ,59.52 ,61.27 ,62.85 
Sutter County unincorporated,SUTTER,56.66 ,55.16 ,88.69 ,120.58 ,96.55 ,101.47 ,110.28 ,94.02 ,114.07 ,94.11 ,80.35 ,83.17 ,86.67 ,102.12 ,103.31 ,117.35 ,120.48 ,127.03 ,146.75 ,166.02 ,179.70 
Live Oak,Sutter,16.60 ,20.81 ,19.76 ,24.45 ,21.70 ,23.47 ,19.62 ,18.26 ,18.07 ,18.84 ,18.75 ,17.41 ,20.44 ,23.87 ,27.95 ,25.46 ,31.61 ,30.08 ,34.80 ,37.81 ,41.72 
Yuba City,Sutter,163.36 ,184.22 ,174.82 ,138.44 ,168.77 ,163.28 ,126.64 ,139.99 ,126.75 ,128.60 ,112.30 ,106.42 ,110.60 ,117.86 ,123.51 ,125.48 ,132.45 ,155.30 ,191.18 ,201.92 ,211.91 
Tehama County unincorporated,TEHAMA,25.97 ,24.43 ,27.69 ,27.67 ,30.81 ,32.57 ,28.46 ,29.31 ,32.00 ,27.42 ,25.98 ,23.76 ,26.39 ,31.55 ,39.91 ,45.47 ,36.44 ,38.13 ,49.99 ,45.85 ,49.58 
Corning,Tehama,202.27 ,245.52 ,227.21 ,245.32 ,254.86 ,260.05 ,206.56 ,225.20 ,273.15 ,271.18 ,221.83 ,168.48 ,228.74 ,264.22 ,283.74 ,275.16 ,260.56 ,272.48 ,345.75 ,365.47 ,404.61 
Red Bluff,Tehama,149.56 ,163.50 ,174.01 ,176.74 ,183.57 ,199.77 ,166.34 ,188.18 ,183.77 ,179.97 ,148.46 ,126.62 ,131.68 ,138.40 ,150.22 ,159.18 ,170.19 ,193.68 ,242.05 ,252.14 ,262.50 
Tehama,Tehama,4.48 ,3.33 ,2.77 ,2.70 ,1.49 ,0.00 ,0.00 ,0.00 ,0.00 ,1.16 ,2.58 ,1.52 ,1.34 ,5.83 ,5.42 ,5.77 ,5.26 ,6.46 ,9.35 ,10.04 ,7.32 
Trinity County UNINCORPORATED,TRINITY,41.32 ,50.28 ,48.26 ,47.91 ,51.93 ,50.36 ,43.91 ,40.17 ,41.39 ,40.50 ,39.35 ,39.85 ,46.89 ,47.05 ,47.71 ,53.58 ,57.46 ,66.94 ,82.81 ,83.73 ,82.55 
Tulare County unincorporated,TULARE,41.93 ,43.54 ,43.28 ,43.84 ,45.19 ,50.69 ,41.93 ,44.25 ,49.92 ,51.05 ,47.56 ,40.50 ,44.31 ,49.70 ,54.35 ,53.12 ,60.39 ,66.35 ,80.76 ,84.58 ,93.57 
Dinuba,Tulare,69.93 ,85.61 ,70.02 ,75.49 ,80.11 ,79.77 ,69.34 ,84.13 ,87.40 ,80.93 ,66.68 ,62.23 ,223.90 ,189.67 ,104.49 ,137.65 ,154.64 ,192.78 ,361.17 ,481.50 ,465.69 
Exeter,Tulare,53.59 ,56.12 ,53.29 ,56.61 ,53.47 ,56.27 ,46.97 ,48.30 ,50.89 ,45.04 ,44.26 ,42.57 ,44.01 ,45.48 ,54.38 ,57.24 ,61.47 ,57.62 ,70.36 ,74.92 ,78.37 
Farmersville,Tulare,31.55 ,38.82 ,41.45 ,20.96 ,35.02 ,32.60 ,31.46 ,34.99 ,31.19 ,34.16 ,32.64 ,28.96 ,25.44 ,32.04 ,36.38 ,37.59 ,37.83 ,35.86 ,44.41 ,54.15 ,57.17 
Lindsay,Tulare,33.79 ,36.67 ,32.53 ,32.14 ,35.85 ,34.98 ,32.93 ,37.16 ,46.04 ,39.54 ,37.44 ,33.77 ,38.47 ,43.89 ,44.49 ,47.10 ,47.94 ,50.22 ,58.06 ,65.71 ,81.91 
Porterville,Tulare,94.18 ,99.90 ,98.28 ,97.24 ,103.20 ,101.91 ,84.47 ,87.76 ,81.71 ,75.01 ,67.13 ,61.11 ,60.91 ,64.06 ,71.19 ,71.78 ,74.89 ,77.30 ,97.40 ,98.57 ,102.40 
Tulare,Tulare,95.79 ,108.99 ,106.42 ,106.18 ,116.78 ,112.83 ,96.75 ,98.13 ,99.19 ,100.29 ,95.57 ,83.89 ,90.56 ,101.97 ,108.88 ,109.16 ,113.03 ,121.67 ,144.79 ,146.29 ,153.78 
Visalia,Tulare,137.79 ,147.26 ,161.41 ,158.76 ,164.93 ,166.55 ,139.19 ,148.48 ,139.14 ,136.60 ,124.53 ,109.08 ,116.30 ,130.01 ,149.33 ,153.91 ,158.08 ,179.93 ,231.97 ,220.82 ,231.75 
Woodlake,Tulare,25.88 ,30.50 ,26.76 ,25.40 ,26.12 ,27.69 ,27.65 ,31.08 ,32.50 ,35.44 ,30.73 ,25.27 ,23.81 ,29.42 ,36.60 ,35.84 ,43.91 ,44.64 ,52.24 ,53.19 ,74.95 
Tuolumne County unincorporated,TUOLUMNE,52.44 ,58.95 ,64.28 ,64.12 ,66.80 ,69.47 ,60.69 ,59.72 ,58.40 ,56.37 ,52.35 ,45.20 ,51.03 ,53.74 ,55.71 ,57.55 ,58.40 ,66.65 ,89.48 ,93.62 ,97.16 
Sonora,Tuolumne,390.96 ,428.37 ,433.60 ,464.41 ,476.94 ,490.10 ,416.02 ,385.82 ,392.70 ,400.97 ,362.37 ,336.95 ,313.97 ,354.94 ,357.52 ,346.05 ,362.01 ,413.99 ,539.33 ,537.24 ,553.07 
Ventura County unincorporated,VENTURA,64.40 ,72.26 ,76.18 ,77.84 ,76.78 ,83.49 ,73.08 ,78.91 ,77.10 ,73.01 ,64.67 ,55.01 ,56.50 ,62.73 ,64.58 ,77.41 ,72.67 ,80.33 ,97.63 ,101.86 ,112.00 
Camarillo,Ventura,108.15 ,121.49 ,146.04 ,144.08 ,147.10 ,157.94 ,131.02 ,135.77 ,133.27 ,138.88 ,136.32 ,127.51 ,140.14 ,151.96 ,153.58 ,154.00 ,160.88 ,166.47 ,205.62 ,208.02 ,217.45 
Fillmore,Ventura,45.62 ,53.49 ,60.83 ,60.22 ,57.90 ,62.02 ,63.94 ,72.63 ,97.49 ,408.61 ,217.08 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,284.35 ",406.09 ,489.65 ,324.01 ,153.75 ,243.19 
Moorpark,Ventura,50.08 ,59.34 ,58.49 ,53.41 ,49.57 ,63.28 ,57.44 ,57.22 ,60.07 ,63.75 ,61.27 ,60.68 ,71.93 ,75.84 ,75.50 ,77.41 ,74.76 ,84.37 ,104.67 ,112.91 ,111.58 
Ojai,Ventura,115.56 ,128.95 ,140.27 ,138.09 ,135.87 ,120.28 ,98.73 ,102.35 ,103.19 ,103.53 ,103.54 ,81.48 ,102.04 ,109.33 ,110.57 ,116.29 ,120.68 ,139.63 ,178.45 ,183.52 ,207.20 
Oxnard,Ventura,97.15 ,107.72 ,102.55 ,109.51 ,113.87 ,121.01 ,98.00 ,99.27 ,99.46 ,93.52 ,83.55 ,74.71 ,80.08 ,87.66 ,93.10 ,95.46 ,100.44 ,111.23 ,144.22 ,147.77 ,155.85 
Port Hueneme,Ventura,25.12 ,26.42 ,32.69 ,31.25 ,31.52 ,34.85 ,29.24 ,29.14 ,29.98 ,29.06 ,27.38 ,30.63 ,29.00 ,28.91 ,29.27 ,29.35 ,29.77 ,32.81 ,43.53 ,47.17 ,60.39 
Santa Paula,Ventura,52.83 ,60.17 ,58.20 ,56.91 ,57.24 ,58.63 ,48.52 ,50.58 ,53.92 ,49.83 ,46.68 ,39.85 ,47.07 ,52.14 ,52.52 ,55.31 ,58.40 ,64.95 ,82.51 ,83.59 ,91.95 
Simi Valley,Ventura,83.36 ,92.58 ,102.28 ,105.15 ,108.73 ,115.87 ,97.14 ,104.91 ,102.76 ,100.98 ,86.75 ,78.92 ,85.50 ,89.19 ,90.87 ,89.64 ,93.89 ,105.97 ,131.48 ,137.49 ,144.02 
Thousand Oaks,Ventura,166.07 ,180.09 ,201.92 ,200.52 ,203.42 ,212.26 ,171.47 ,169.00 ,166.02 ,154.10 ,141.05 ,132.27 ,141.14 ,144.26 ,151.97 ,151.43 ,158.63 ,181.98 ,223.41 ,228.34 ,246.70 
San Buenaventura,Ventura,148.14 ,162.87 ,182.53 ,180.03 ,182.05 ,186.50 ,157.36 ,156.54 ,157.34 ,149.00 ,135.05 ,119.23 ,126.60 ,136.97 ,143.27 ,147.24 ,156.22 ,176.80 ,215.68 ,219.36 ,241.46 
Yolo County unincorporated,YOLO,72.60 ,83.21 ,95.65 ,96.92 ,79.46 ,81.15 ,79.30 ,98.69 ,105.81 ,98.51 ,103.03 ,75.44 ,81.53 ,90.37 ,90.24 ,95.93 ,106.70 ,102.71 ,119.66 ,123.13 ,149.32 
Davis,Yolo,68.71 ,71.97 ,80.49 ,83.91 ,85.03 ,85.43 ,74.86 ,70.51 ,68.41 ,69.88 ,59.51 ,57.95 ,57.54 ,62.50 ,72.89 ,73.46 ,78.79 ,92.46 ,114.09 ,107.66 ,110.60 
West Sacramento,Yolo,273.61 ,298.96 ,322.91 ,263.00 ,251.38 ,272.00 ,222.06 ,226.24 ,208.51 ,227.21 ,233.06 ,194.69 ,203.96 ,214.12 ,223.97 ,240.52 ,241.43 ,253.08 ,294.71 ,314.09 ,368.13 
Winters,Yolo,31.15 ,36.71 ,33.83 ,34.14 ,42.63 ,41.73 ,39.76 ,40.39 ,35.95 ,43.47 ,35.24 ,31.83 ,39.23 ,45.56 ,49.20 ,58.99 ,60.42 ,67.07 ,80.43 ,83.42 ,91.57 
